20130414 17:02:20:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:20:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:22:	update worker_tb set last_request_time='2013-04-14 17:02:22' where slave_id=1
20130414 17:02:22:	update worker_tb set last_request_time='2013-04-14 17:02:22' where slave_id=1
20130414 17:02:22:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:22:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:23:	update worker_tb set last_request_time='2013-04-14 17:02:23' where slave_id=1
20130414 17:02:23:	update worker_tb set last_request_time='2013-04-14 17:02:23' where slave_id=1
20130414 17:02:23:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:23:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:24:	update worker_tb set last_request_time='2013-04-14 17:02:24' where slave_id=1
20130414 17:02:24:	update worker_tb set last_request_time='2013-04-14 17:02:24' where slave_id=1
20130414 17:02:24:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:24:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:25:	update worker_tb set last_request_time='2013-04-14 17:02:25' where slave_id=1
20130414 17:02:25:	update worker_tb set last_request_time='2013-04-14 17:02:25' where slave_id=1
20130414 17:02:25:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:25:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:27:	update worker_tb set last_request_time='2013-04-14 17:02:27' where slave_id=1
20130414 17:02:27:	update worker_tb set last_request_time='2013-04-14 17:02:27' where slave_id=1
20130414 17:02:27:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:27:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:28:	update worker_tb set last_request_time='2013-04-14 17:02:28' where slave_id=1
20130414 17:02:28:	update worker_tb set last_request_time='2013-04-14 17:02:28' where slave_id=1
20130414 17:02:28:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:28:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:29:	update worker_tb set last_request_time='2013-04-14 17:02:29' where slave_id=1
20130414 17:02:29:	update worker_tb set last_request_time='2013-04-14 17:02:29' where slave_id=1
20130414 17:02:29:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:29:	update worker_site_tb set site_task_sucess=site_task_sucess+1 where slave_id=1 and site_id='csdn'
20130414 17:02:30:	update worker_tb set last_request_time='2013-04-14 17:02:30' where slave_id=1
